@relation 'TrainingData_g8-7-weka.filters.unsupervised.attribute.Remove-V-R1,8,10,12,22,31,39,53'

@attribute PIR_hallway {off,on}
@attribute light_livingroom {off,on}
@attribute light_bathroom {off,on}
@attribute light_balcony {off,on}
@attribute current_AC_livingroom {off,standby,on}
@attribute current_fridge_kitchen {off,standby,on}
@attribute camera_bedroom {off,on}
@attribute class {OtherActivity,g8-7}

@data
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
on,off,off,off,on,standby,off,OtherActivity
off,on,off,off,on,standby,off,OtherActivity
off,on,off,off,on,standby,off,OtherActivity
off,on,off,off,on,standby,off,OtherActivity
off,on,off,off,on,standby,off,OtherActivity
off,on,off,off,on,standby,off,OtherActivity
off,on,off,off,on,standby,off,OtherActivity
off,on,off,off,on,standby,off,OtherActivity
off,on,off,off,on,standby,off,OtherActivity
off,on,off,off,on,standby,off,OtherActivity
off,on,off,off,on,standby,off,OtherActivity
off,on,off,off,on,standby,off,OtherActivity
off,off,on,off,on,on,on,OtherActivity
off,off,on,off,on,on,on,OtherActivity
off,off,on,off,on,on,on,OtherActivity
off,off,on,off,on,on,on,OtherActivity
off,off,on,off,on,on,on,OtherActivity
off,off,on,off,on,on,on,OtherActivity
off,on,on,off,on,standby,off,OtherActivity
off,on,on,off,on,standby,off,OtherActivity
off,on,on,off,on,standby,off,OtherActivity
off,on,on,off,on,standby,off,OtherActivity
off,on,on,off,on,standby,off,OtherActivity
off,on,on,off,on,standby,off,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
off,off,off,off,on,standby,on,OtherActivity
on,on,off,off,on,standby,off,OtherActivity
off,on,off,on,on,standby,on,OtherActivity
off,on,off,on,on,standby,on,OtherActivity
off,on,off,on,on,standby,on,OtherActivity
off,on,off,on,on,standby,on,OtherActivity
off,on,off,on,on,standby,on,OtherActivity
off,on,off,on,on,standby,on,OtherActivity
off,on,off,on,on,standby,on,OtherActivity
off,on,off,on,on,standby,on,OtherActivity
off,on,off,on,on,standby,on,OtherActivity
off,on,off,on,on,standby,on,OtherActivity
off,on,off,on,on,standby,on,OtherActivity
off,off,off,on,on,standby,on,OtherActivity
off,off,off,on,on,standby,on,OtherActivity
off,off,off,on,on,standby,on,OtherActivity
off,off,off,on,on,standby,on,OtherActivity
off,off,off,on,on,standby,on,OtherActivity
off,off,off,on,on,standby,on,OtherActivity
off,off,off,on,on,standby,on,OtherActivity
off,off,off,on,on,standby,on,OtherActivity
off,off,off,on,on,standby,on,OtherActivity
off,off,off,on,on,standby,on,OtherActivity
off,off,off,on,on,standby,on,OtherActivity
off,off,off,on,on,standby,on,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,off,off,off,on,on,on,OtherActivity
off,off,off,off,on,on,on,OtherActivity
off,off,off,off,on,on,on,OtherActivity
off,off,off,off,on,on,on,OtherActivity
off,off,off,off,on,on,on,OtherActivity
off,off,off,off,on,on,on,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
on,off,off,on,on,standby,off,OtherActivity
off,on,off,off,on,on,on,OtherActivity
off,on,off,off,on,on,on,OtherActivity
off,on,off,off,on,on,on,OtherActivity
off,on,off,off,on,on,on,OtherActivity
off,on,off,off,on,on,on,OtherActivity
off,on,off,off,on,on,on,OtherActivity
off,on,off,off,on,on,on,OtherActivity
off,on,off,off,on,on,on,OtherActivity
off,on,off,off,on,on,on,OtherActivity
off,on,off,off,on,on,on,OtherActivity
off,on,off,off,on,on,on,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,off,on,on,on,OtherActivity
off,on,off,off,on,on,on,OtherActivity
off,on,off,off,on,on,on,OtherActivity
off,on,off,off,on,on,on,OtherActivity
off,on,off,off,on,on,on,OtherActivity
off,on,off,off,on,on,on,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,on,off,on,on,on,off,OtherActivity
off,off,on,on,on,standby,off,OtherActivity
off,off,on,on,on,standby,off,OtherActivity
off,off,on,on,on,standby,off,OtherActivity
off,off,on,on,on,standby,off,OtherActivity
off,off,on,on,on,standby,off,OtherActivity
off,off,on,on,on,standby,off,OtherActivity
off,off,on,on,on,standby,off,OtherActivity
off,off,on,on,on,standby,off,OtherActivity
off,off,on,on,on,standby,off,OtherActivity
off,off,on,on,on,standby,off,OtherActivity
off,off,on,on,on,standby,off,OtherActivity
off,off,on,on,on,standby,off,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,off,on,off,on,standby,on,OtherActivity
off,on,on,off,on,standby,off,OtherActivity
off,on,on,off,on,standby,off,OtherActivity
off,on,on,on,on,standby,off,OtherActivity
off,on,on,on,on,standby,off,OtherActivity
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
off,off,off,off,off,standby,off,g8-7
