@relation 'TrainingData_g2-2-weka.filters.unsupervised.attribute.Remove-V-R12,19,38,45,53'

@attribute light_balcony {off,on}
@attribute current_TV_livingroom {off,standby,on}
@attribute camera_livingroom {off,on}
@attribute temperature_bathroom {low,high}
@attribute class {OtherActivity,g2-2}

@data
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
off,on,on,low,g2-2
