@relation 'TrainingData_g4-2-weka.filters.unsupervised.attribute.Remove-V-R12,19,36,38,53'

@attribute light_balcony {off,on}
@attribute current_TV_livingroom {off,standby,on}
@attribute current_waterHeater_balcony {off,standby,on}
@attribute camera_livingroom {off,on}
@attribute class {OtherActivity,g4-2}

@data
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
off,on,standby,on,g4-2
