@relation 'TrainingData_g2-13-weka.filters.unsupervised.attribute.Remove-V-R5,24,30,34,53'

@attribute PIR_kitchen {off,on}
@attribute current_fanHeater_livingroom {off,standby,on}
@attribute current_exhaustFan_bathroom {off,standby,on}
@attribute current_Dishwasher_kitchen {off,standby,on}
@attribute class {OtherActivity,g2-13}

@data
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,on,off,off,OtherActivity
on,on,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,on,on,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
off,off,on,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,on,off,on,OtherActivity
on,on,off,on,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,on,off,on,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
on,off,off,on,g2-13
on,off,off,on,g2-13
on,off,off,on,g2-13
on,off,off,on,g2-13
on,off,off,on,g2-13
on,off,off,on,g2-13
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
off,on,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,off,off,off,OtherActivity
on,on,on,off,OtherActivity
on,on,on,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,on,off,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
on,off,on,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
on,off,off,on,g2-13
on,off,off,on,g2-13
on,off,off,on,g2-13
on,off,off,on,g2-13
on,off,off,on,g2-13
on,off,off,on,g2-13
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,on,on,OtherActivity
off,off,on,on,OtherActivity
off,off,on,on,OtherActivity
off,off,on,on,OtherActivity
off,off,on,on,OtherActivity
off,off,on,on,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
